1,'N Sync
2,14 : Ensayo)"
3,142 moms from all over the world
4,1977 Inaugural Committee (U.S.)
5,1st Graders of Samuel s Nixon School Carnegie Penn
6,2000
7,2003
8,21st Century Publishing
9,73 Magazine Editors
10,;Katie Stewart"
11,A &amp; C Black Ltd.
12,A &amp; E Television Network
13,A A Milne
14,A Adams
15,A Alvarez
16,A B Guthrie
17,A B Simpson
18,A Blue Mountain Arts Collection
19,A Bodenburg Sommer
20,A Dumas
21,A E Hartink
22,A E Van Vogt
23,A Finlayson
24,A First Book
25,A Frank
26,A Franquin
27,A G Eyre
28,A Ganeri
29,A H Kramer-Lampher
30,A Hunter
31,A Hurricane) (Harlequin American Romance, No 698)"
32,A Kollontai
33,A Lobo Antunes
34,A Martin
35,A McKeane
36,A Monk of the Eastern Church
37,A Munné-Jordà
38,A N Jeffares
39,A Norman Jeffares
40,A Paton
41,A Perry
42,A R Lacey
43,A Rich
44,A Ripellino
45,A S Byatt
46,A STERLING
47,A Schwarz-Bart
48,A Soljenitsyne
49,A T &amp; T
50,A'Lelia Bundles
51,A. A Milne
52,A. A.  Winnie the Pooh Milne
53,A. A.  Winnie-The-Pooh Milne
54,A. A. Attanasio
55,A. A. Carr
56,A. A. Gill
57,A. A. Hoehing
58,A. A. Hoehling
59,A. A. Milne
60,A. A. Sveshnikov
61,A. A. Winnie the Pooh Milne
62,A. Alice
63,A. Alli
64,A. Alvarez
65,A. Anatoli
66,A. Anderson-Evangelista
67,A. Avalon
68,A. B. C. Whipple
69,A. B. Guthrie
70,A. B. Simpson
71,A. B. Yehoshua
72,A. B., Jr. Guthrie
73,A. Balfour
74,A. Barrie
75,A. Bartlett Giamatti
76,A. Bates
77,A. Bertrand
78,A. Breton
79,A. Brill
80,A. Bronte
81,A. Bruce Carlson
82,A. Bry
83,A. Buero Vallejo
84,A. C Grayling
85,A. C. (Alan C.) Weisbecker
86,A. C. (Ann C.) Crispin
87,A. C. Baantjer
88,A. C. Bhaktivedanta Swami Prabhupada
89,A. C. Bhaktivedanta Swami Prabhupada et al.
90,A. C. Bradley
91,A. C. Cawley
92,A. C. Crispin
93,A. C. Doyle
94,A. C. Fox-Davies
95,A. C. Gordon
96,A. C. Grayling
97,A. C. Green
98,A. C. H Smith
99,A. C. H. Smith
100,A. C. Parfitt
101,A. C. Prabhupada
102,A. C. Robin Skynner
103,A. C. Scott
104,A. C. Spearing
105,A. C. Weisbecker
106,A. Carman Clark
107,A. Carman, Clark
108,A. Colin Day
109,A. Cort Sinnes
110,A. Cross
111,A. D. Ball
112,A. D. Francis
113,A. D. Harvey
114,A. D. Mills
115,A. D. Nauman
116,A. D. Smith
117,A. D. Thorp
118,A. D. Winans
119,A. Daly
120,A. Daudet
121,A. Decarlo
122,A. Dh�?´tel
123,A. Dickey
124,A. Dolge
125,A. Duncan Brown
126,A. E Johann
127,A. E Van Vogt
128,A. E. (Alfred Elton) Van Vogt
129,A. E. Cannon
130,A. E. Hartnik
131,A. E. Hotchner
132,A. E. Housman
133,A. E. J Morris
134,A. E. Martin
135,A. E. Maxwell
136,A. E. Parker
137,A. E. Smith
138,A. E. Stephan
139,A. E. Van Vogt
140,A. E. W. Mason
141,A. E. Wilder-Smith
142,A. Edwards
143,A. Everitt
144,A. F Tschiffely
145,A. F. Gotch
146,A. F. Price
147,A. F. Th. van der Heijden
148,A. F. Wallace
149,A. Finnis
150,A. Frances
151,A. Francis
152,A. Franklin Parks
153,A. Fraser
154,A. G Ford
155,A. G. Cascone
156,A. G. Gravette
157,A. G. L Shaw
158,A. G. Macdonell
159,A. G. Mojtabai
160,A. G. Smith
161,A. Ganeri
162,A. Gayot
163,A. Grove Day
164,A. Gryphius
165,A. H. ALMAAS
166,A. H. Benjamin
167,A. H. Japp
168,A. Haeworth Robertson
169,A. Hallam
170,A. Henderson-Sellers
171,A. Herge
172,A. Hoehling
173,A. Hoffman
174,A. Holl
175,A. Holm
176,A. Horowitz
177,A. I. Lur'e
178,A. I. Oparin
179,A. J McClane
180,A. J Van der Bent
181,A. J. (Archibald Joseph) Cronin
182,A. J. Adler
183,A. J. Baden Fuller
184,A. J. Baime
185,A. J. Burress
186,A. J. Conyers
187,A. J. Cronin
188,A. J. Drew
189,A. J. Garrotto
190,A. J. Grassby
191,A. J. Hill
192,A. J. Holt
193,A. J. Jacobs
194,A. J. Langguth
195,A. J. Matthews
196,A. J. Meadows
197,A. J. Orde
198,A. J. Oreilly
199,A. J. Quinnell
200,A. J. Russell
201,A. J. Russo
202,A. J. Stacey
203,A. J. Verdelle
204,A. J. Wood
205,A. Jaffe
206,A. James Arnold
207,A. Jardin
208,A. Jarry
209,A. Jay Abrams
210,A. Jennings
211,A. Jones
212,A. Juno
213,A. Justin Sterling
214,A. K Dewdney
215,A. K.  Dewdney
216,A. K. Best
217,A. K. Dewdney
218,A. K. Legg
219,A. Keith Barton
220,A. Keith Furr
221,A. Kenneth Snowman
222,A. Keyton Weissinger
223,A. Kiplinger
224,A. L Karras
225,A. L. Alexander
226,A. L. Haskett
227,A. L. Kennedy
228,A. L. Lassieur
229,A. L. Rice
230,A. L. Singer
231,A. LaFaye
232,A. Lagarde
233,A. Laude
234,A. Leigh Deneef
235,A. Linzey
236,A. Lloyd
237,A. Lynn Berle
238,A. Lyons
239,A. M Tibbetts
240,A. M. Galopim de Carvalho
241,A. M. Homes
242,A. M. Jenkins
243,A. M. Monson
244,A. M. R. Agur
245,A. M. Rosenthal
246,A. M. Sperber
247,A. Malcolm Campbell
248,A. Manette Ansay
249,A. Martin
250,A. Mather
251,A. Melody
252,A. Merritt
253,A. Michael Kahn
254,A. Monnerie
255,A. Mortimer
256,A. N Afanas§ev
257,A. N Roquelaure
258,A. N Wilson
259,A. N. Roquelaure
260,A. N. Wilson
261,A. Nadaud
262,A. Nataf
263,A. Natow
264,A. Nicholas Fargnoli
265,A. Nicholas. Vardac
266,A. Norman Jeffares
267,A. Northedge
268,A. Olive Wadsworth
269,A. P Riemer
270,A. P. Cowie
271,A. P. Herbert
272,A. P. J Abdul Kalam
273,A. P. Porter
274,A. Pablo Iannone
275,A. Parody
276,A. Pate
277,A. Plass
278,A. Plater
279,A. Platonov
280,A. R Ammons
